Species,Long,Lat
Black shama,123.8192778,10.43286111
Black shama,123.8209167,10.41766667
Black shama,123.5361667,9.904944444
Black shama,123.5271944,9.902416667
Black shama,123.4508333,9.710833333
Black shama,123.4555278,9.710055556
Black shama,123.4938333,9.832861111
Black shama,123.497,9.838861111
Black shama,123.4838333,9.849027778
Black shama,123.4906667,9.826444444
Black shama,123.8252778,10.43869444
Black shama,123.8209167,10.41766667
